"anio","jurisdiccion_de_residencia_id","jurisdicion_residencia_nombre","edad_madre_grupo","instruccion_madre","tipo_de_parto_id","tipo_de_parto_nombre","semana_gestacion","intervalo_peso_al_nacer","sexo_id","Sexo","nacimientos_cantidad"
2024,99,"Sin Información","5.30 a 34","8.Sin especificar",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",2
2024,90,"Tucumán","2.15 a 19","8.Sin especificar",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",1
2024,90,"Tucumán","5.30 a 34","5.Secundaria/Polimodal Completa",1,"Simple","5.32 a 36","4.1500 a 1999",2,"femenino",6
2024,38,"Jujuy","8.De 45 y más","6.Terciaria/Universitaria Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",1
2024,18,"Corrientes","7.40 a 44","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",26
2024,86,"Santiago del Estero","4.25 a 29","8.Sin especificar",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",1
2024,86,"Santiago del Estero","4.25 a 29","8.Sin especificar",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",2
2024,62,"Río Negro","5.30 a 34","4.Secundaria/Polimodal Incompleta",1,"Simple","7.42 y más","7.3000 a 3499",2,"femenino",1
2024,90,"Tucumán","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","4.28 a 31","4.1500 a 1999",2,"femenino",3
2024,86,"Santiago del Estero","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","5.2000 a 2499",2,"femenino",14
2024,70,"San Juan","2.15 a 19","1.Sin instrucción",1,"Simple","6.37 a 41","5.2000 a 2499",2,"femenino",1
2024,66,"Salta","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",202
2024,58,"Neuquén","3.20 a 24","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","4.1500 a 1999",2,"femenino",2
2024,90,"Tucumán","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","8.De 3500 y más",2,"femenino",5
2024,6,"Buenos Aires","4.25 a 29","1.Sin instrucción",1,"Simple","6.37 a 41","5.2000 a 2499",2,"femenino",1
2024,90,"Tucumán","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",141
2024,90,"Tucumán","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",80
2024,90,"Tucumán","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","7.42 y más","6.2500 a 2999",2,"femenino",2
2024,90,"Tucumán","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","7.42 y más","7.3000 a 3499",2,"femenino",5
2024,22,"Chaco","2.15 a 19","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","5.2000 a 2499",2,"femenino",6
2024,22,"Chaco","2.15 a 19","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",35
2024,22,"Chaco","2.15 a 19","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",46
2024,86,"Santiago del Estero","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","4.1500 a 1999",2,"femenino",1
2024,66,"Salta","4.25 a 29","6.Terciaria/Universitaria Incompleta",1,"Simple","6.37 a 41","5.2000 a 2499",2,"femenino",7
2024,90,"Tucumán","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","4.28 a 31","4.1500 a 1999",2,"femenino",3
2024,22,"Chaco","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","2.22 a 23","2.500 a 999",2,"femenino",1
2024,62,"Río Negro","5.30 a 34","6.Terciaria/Universitaria Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",40
2024,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","6.35 a 39","6.Terciaria/Universitaria Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",1
2024,22,"Chaco","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","4.28 a 31","3.1000 a 1499",2,"femenino",2
2024,2,"Ciudad Autónoma de Buenos Aires","1.Menor de 15","8.Sin especificar",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",1
2024,58,"Neuquén","3.20 a 24","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",99
2024,90,"Tucumán","4.25 a 29","5.Secundaria/Polimodal Completa",1,"Simple","5.32 a 36","8.De 3500 y más",2,"femenino",9
2024,14,"Córdoba","6.35 a 39","5.Secundaria/Polimodal Completa",1,"Simple","4.28 a 31","2.500 a 999",2,"femenino",2
2024,90,"Tucumán","6.35 a 39","3.Primaria/C. EGB Completa",1,"Simple","8.Sin especificar","8.De 3500 y más",2,"femenino",1
2024,86,"Santiago del Estero","5.30 a 34","4.Secundaria/Polimodal Incompleta",1,"Simple","4.28 a 31","3.1000 a 1499",2,"femenino",2
2024,58,"Neuquén","3.20 a 24","6.Terciaria/Universitaria Incompleta",1,"Simple","4.28 a 31","5.2000 a 2499",2,"femenino",1
2024,70,"San Juan","2.15 a 19","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","4.1500 a 1999",2,"femenino",1
2024,14,"Córdoba","6.35 a 39","5.Secundaria/Polimodal Completa",1,"Simple","5.32 a 36","6.2500 a 2999",2,"femenino",15
2024,90,"Tucumán","2.15 a 19","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",1
2024,66,"Salta","7.40 a 44","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",13
2024,38,"Jujuy","6.35 a 39","7.Terciaria/Universitaria Completa",1,"Simple","8.Sin especificar","7.3000 a 3499",2,"femenino",1
2024,62,"Río Negro","5.30 a 34","8.Sin especificar",1,"Simple","5.32 a 36","7.3000 a 3499",2,"femenino",1
2024,38,"Jujuy","8.De 45 y más","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",1
2024,90,"Tucumán","3.20 a 24","1.Sin instrucción",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",2
2024,86,"Santiago del Estero","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","7.3000 a 3499",2,"femenino",4
2024,99,"Sin Información","2.15 a 19","8.Sin especificar",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",1
2024,86,"Santiago del Estero","2.15 a 19","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","8.De 3500 y más",2,"femenino",2
2024,74,"San Luis","5.30 a 34","5.Secundaria/Polimodal Completa",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",40
2024,74,"San Luis","5.30 a 34","6.Terciaria/Universitaria Incompleta",1,"Simple","4.28 a 31","3.1000 a 1499",2,"femenino",1
2024,86,"Santiago del Estero","5.30 a 34","1.Sin instrucción",1,"Simple","5.32 a 36","6.2500 a 2999",2,"femenino",1
2024,86,"Santiago del Estero","5.30 a 34","1.Sin instrucción",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",2
2024,86,"Santiago del Estero","6.35 a 39","6.Terciaria/Universitaria Incompleta",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",1
2024,18,"Corrientes","8.De 45 y más","2.Primaria/C. EGB Incompleta",1,"Simple","6.37 a 41","7.3000 a 3499",2,"femenino",1
2024,74,"San Luis","5.30 a 34","7.Terciaria/Universitaria Completa",1,"Simple","5.32 a 36","5.2000 a 2499",2,"femenino",7
2024,74,"San Luis","5.30 a 34","7.Terciaria/Universitaria Completa",1,"Simple","5.32 a 36","6.2500 a 2999",2,"femenino",1
2024,14,"Córdoba","6.35 a 39","7.Terciaria/Universitaria Completa",1,"Simple","4.28 a 31","2.500 a 999",2,"femenino",1
2024,62,"Río Negro","6.35 a 39","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","4.1500 a 1999",2,"femenino",1
2024,62,"Río Negro","6.35 a 39","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","5.2000 a 2499",2,"femenino",2
2024,62,"Río Negro","6.35 a 39","4.Secundaria/Polimodal Incompleta",1,"Simple","5.32 a 36","6.2500 a 2999",2,"femenino",4
2024,78,"Santa Cruz","6.35 a 39","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",8
2024,62,"Río Negro","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","5.2000 a 2499",2,"femenino",5
2024,90,"Tucumán","4.25 a 29","7.Terciaria/Universitaria Completa",1,"Simple","5.32 a 36","5.2000 a 2499",2,"femenino",2
2024,62,"Río Negro","4.25 a 29","4.Secundaria/Polimodal Incompleta",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",36
2024,74,"San Luis","5.30 a 34","7.Terciaria/Universitaria Completa",1,"Simple","6.37 a 41","8.De 3500 y más",2,"femenino",33
2024,74,"San Luis","5.30 a 34","8.Sin especificar",1,"Simple","4.28 a 31","4.1500 a 1999",2,"femenino",1
2024,66,"Salta","6.35 a 39","5.Secundaria/Polimodal Completa",1,"Simple","2.22 a 23","2.500 a 999",2,"femenino",1
2024,66,"Salta","6.35 a 39","5.Secundaria/Polimodal Completa",1,"Simple","3.24 a 27","2.500 a 999",2,"femenino",1
2024,86,"Santiago del Estero","5.30 a 34","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","5.2000 a 2499",2,"femenino",1
2024,86,"Santiago del Estero","5.30 a 34","3.Primaria/C. EGB Completa",1,"Simple","6.37 a 41","6.2500 a 2999",2,"femenino",54
