PROVRES;TIPPARTO;SEXO;IMEDAD;ITIEMGEST;IMINSTRUC;IPESONAC;CUENTA
86;1;1;4.25 a 29;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;12
66;1;2;3.20 a 24;8.Sin especificar;2.Secundaria/Polimodal Incompleta;3.Sin especificar;1
34;1;2;7.40 a 44;6.37 a 41;4.Sin especificar;1.Menos de 2500 gramos;2
74;1;2;6.35 a 39;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;9
22;1;1;4.25 a 29;3.24 a 27;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;2
62;1;1;5.30 a 34;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;6
54;1;2;4.25 a 29;5.32 a 36;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;37
14;1;1;4.25 a 29;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;10
82;1;1;5.30 a 34;3.24 a 27;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;3
26;2;1;3.20 a 24;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
02;1;2;9.Sin especificar;8.Sin especificar;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;1
18;1;1;5.30 a 34;3.24 a 27;4.Sin especificar;1.Menos de 2500 gramos;2
22;1;1;9.Sin especificar;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;1
90;1;1;7.40 a 44;6.37 a 41;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;6
90;1;2;3.20 a 24;5.32 a 36;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;11
06;1;2;7.40 a 44;3.24 a 27;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
26;2;1;4.25 a 29;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;2
30;1;1;5.30 a 34;8.Sin especificar;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;10
26;1;2;2.15 a 19;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;3
06;9;1;4.25 a 29;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
06;1;1;5.30 a 34;8.Sin especificar;3.Secundario/Polimodal Completa y más;3.Sin especificar;12
34;2;1;5.30 a 34;6.37 a 41;4.Sin especificar;2.2500 gramos y más;6
02;1;2;6.35 a 39;6.37 a 41;3.Secundario/Polimodal Completa y más;3.Sin especificar;1
86;2;1;3.20 a 24;4.28 a 31;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
86;2;1;4.25 a 29;4.28 a 31;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
30;1;2;4.25 a 29;6.37 a 41;3.Secundario/Polimodal Completa y más;3.Sin especificar;2
14;2;1;3.20 a 24;3.24 a 27;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
34;2;2;3.20 a 24;5.32 a 36;4.Sin especificar;2.2500 gramos y más;1
70;1;1;1.Menor de 15;6.37 a 41;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
46;1;2;2.15 a 19;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
02;2;2;6.35 a 39;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;39
54;1;1;4.25 a 29;6.37 a 41;1.Hasta Primaria/C.EGB Completa;3.Sin especificar;1
82;2;2;3.20 a 24;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;7
82;1;2;4.25 a 29;7.42 y más;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;4
22;2;1;4.25 a 29;6.37 a 41;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;3
18;1;2;5.30 a 34;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;762
06;2;2;4.25 a 29;8.Sin especificar;1.Hasta Primaria/C.EGB Completa;3.Sin especificar;1
10;1;1;7.40 a 44;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
54;2;2;4.25 a 29;5.32 a 36;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;3
18;1;1;4.25 a 29;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;878
54;1;2;7.40 a 44;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;6
06;1;2;4.25 a 29;2.22 a 23;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
14;1;1;4.25 a 29;3.24 a 27;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;5
14;2;2;2.15 a 19;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;3
06;1;2;5.30 a 34;8.Sin especificar;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;106
54;1;2;5.30 a 34;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;3
54;1;2;4.25 a 29;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;730
78;1;1;8.De 45 y más;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;4
86;1;2;5.30 a 34;4.28 a 31;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
58;2;2;2.15 a 19;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
82;2;2;7.40 a 44;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;3
06;1;2;6.35 a 39;8.Sin especificar;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;5
10;1;1;2.15 a 19;5.32 a 36;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
58;2;2;6.35 a 39;3.24 a 27;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
30;1;2;1.Menor de 15;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;3
86;1;1;4.25 a 29;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;3
06;1;2;6.35 a 39;1.Menos de 22;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
66;1;2;2.15 a 19;8.Sin especificar;1.Hasta Primaria/C.EGB Completa;3.Sin especificar;1
18;2;2;4.25 a 29;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
02;1;1;7.40 a 44;4.28 a 31;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;2
94;2;1;5.30 a 34;5.32 a 36;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
34;1;2;6.35 a 39;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;8
18;2;2;3.20 a 24;5.32 a 36;4.Sin especificar;1.Menos de 2500 gramos;3
50;1;1;2.15 a 19;3.24 a 27;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;4
06;1;1;6.35 a 39;6.37 a 41;3.Secundario/Polimodal Completa y más;3.Sin especificar;18
38;2;2;5.30 a 34;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
74;1;1;4.25 a 29;7.42 y más;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;15
58;2;1;3.20 a 24;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
74;1;2;6.35 a 39;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;273
38;1;1;7.40 a 44;4.28 a 31;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
06;2;1;8.De 45 y más;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;3
22;1;2;7.40 a 44;8.Sin especificar;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;3
34;1;2;6.35 a 39;5.32 a 36;4.Sin especificar;1.Menos de 2500 gramos;13
38;1;1;5.30 a 34;7.42 y más;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;6
06;9;2;4.25 a 29;5.32 a 36;4.Sin especificar;1.Menos de 2500 gramos;7
02;9;1;3.20 a 24;5.32 a 36;4.Sin especificar;2.2500 gramos y más;1
18;1;1;5.30 a 34;6.37 a 41;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;1
66;1;2;6.35 a 39;5.32 a 36;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;10
74;1;2;7.40 a 44;6.37 a 41;4.Sin especificar;2.2500 gramos y más;1
74;1;2;7.40 a 44;6.37 a 41;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;1
66;1;1;5.30 a 34;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;2
62;1;1;5.30 a 34;5.32 a 36;4.Sin especificar;2.2500 gramos y más;3
99;2;2;5.30 a 34;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;1
62;1;2;2.15 a 19;5.32 a 36;4.Sin especificar;2.2500 gramos y más;1
74;2;1;5.30 a 34;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;2
22;1;1;7.40 a 44;8.Sin especificar;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
30;1;2;6.35 a 39;6.37 a 41;2.Secundaria/Polimodal Incompleta;3.Sin especificar;1
90;1;1;6.35 a 39;5.32 a 36;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;10
14;1;1;7.40 a 44;7.42 y más;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;2
90;2;1;3.20 a 24;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;5
62;1;1;7.40 a 44;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;6
62;1;1;8.De 45 y más;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;2
02;1;1;8.De 45 y más;5.32 a 36;4.Sin especificar;2.2500 gramos y más;2
18;1;2;3.20 a 24;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;19
18;1;1;9.Sin especificar;6.37 a 41;4.Sin especificar;2.2500 gramos y más;2
62;1;2;4.25 a 29;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;9
18;1;1;4.25 a 29;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;31
78;2;2;7.40 a 44;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;2
02;1;2;9.Sin especificar;5.32 a 36;4.Sin especificar;1.Menos de 2500 gramos;1
02;1;2;6.35 a 39;6.37 a 41;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;212
34;2;2;4.25 a 29;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;3
74;1;2;3.20 a 24;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;165
82;1;2;1.Menor de 15;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
46;2;1;7.40 a 44;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;2
99;1;1;5.30 a 34;6.37 a 41;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
10;2;2;5.30 a 34;6.37 a 41;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
62;1;1;4.25 a 29;6.37 a 41;4.Sin especificar;3.Sin especificar;1
86;1;2;7.40 a 44;5.32 a 36;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;10
14;1;1;4.25 a 29;5.32 a 36;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;14
66;2;2;2.15 a 19;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;2
74;1;2;5.30 a 34;6.37 a 41;4.Sin especificar;2.2500 gramos y más;16
34;1;2;6.35 a 39;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;4
82;1;2;4.25 a 29;6.37 a 41;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;23
14;1;2;2.15 a 19;4.28 a 31;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
62;1;1;2.15 a 19;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;154
62;1;1;3.20 a 24;8.Sin especificar;1.Hasta Primaria/C.EGB Completa;2.2500 gramos y más;1
82;1;1;3.20 a 24;5.32 a 36;1.Hasta Primaria/C.EGB Completa;1.Menos de 2500 gramos;31
30;2;2;2.15 a 19;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;2
06;1;9;6.35 a 39;5.32 a 36;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;1
66;1;2;8.De 45 y más;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;1
38;1;2;4.25 a 29;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;24
06;1;9;4.25 a 29;5.32 a 36;2.Secundaria/Polimodal Incompleta;1.Menos de 2500 gramos;2
34;1;2;7.40 a 44;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;42
34;2;1;5.30 a 34;5.32 a 36;4.Sin especificar;2.2500 gramos y más;2
02;2;1;3.20 a 24;5.32 a 36;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;1
99;1;2;7.40 a 44;6.37 a 41;4.Sin especificar;2.2500 gramos y más;2
54;1;1;7.40 a 44;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;4
82;1;2;2.15 a 19;5.32 a 36;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;10
22;9;1;7.40 a 44;6.37 a 41;1.Hasta Primaria/C.EGB Completa;3.Sin especificar;1
54;2;2;5.30 a 34;6.37 a 41;2.Secundaria/Polimodal Incompleta;2.2500 gramos y más;2
86;1;1;5.30 a 34;7.42 y más;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;4
50;1;2;5.30 a 34;6.37 a 41;3.Secundario/Polimodal Completa y más;2.2500 gramos y más;1746
38;1;2;6.35 a 39;4.28 a 31;3.Secundario/Polimodal Completa y más;1.Menos de 2500 gramos;3
